conditionId,question,category,open_time,close_time,duration_days,trade_count,is_fed,is_political,has_uma_dispute
0x13d3e3531ecc4d6096ffe53c9a34f73ea56ed9b4404f87366e708d3d3a7be699,Will Fed cut interest rates 5 times in 2024?,,2024-03-21 00:00:00+00:00,2024-12-30 00:00:00+00:00,284,6683117,TRUE,FALSE,TRUE
0x1070c27e30447364ed6602778729203d29aaa8860cb0a24779eb3a26f68b245f,Will Fed cut interest rates 6+ times in 2024?,,2024-03-21 00:00:00+00:00,2024-12-30 00:00:00+00:00,284,20169086,TRUE,FALSE,TRUE
0x1b43e21dc696e34154ba0d0a9b351264a86d773bf381ffd0eb5d2124ee783b33,House control after 2024 election?,,2024-02-21 00:00:00+00:00,2024-11-05 00:00:00+00:00,258,7967497,FALSE,TRUE,TRUE
0x29aeefeb4357f5df500f4ed8c23c7a3c88acd4bea02514a7f8ad256651a6829c,Will a Democrat win Alabama Presidential Election?,,2024-03-28 00:00:00+00:00,2024-11-05 00:00:00+00:00,222,101648,FALSE,TRUE,TRUE
0x73e79bf159ec7f40a56830f4f0e27a608a15325e427ae43a06772c1549948885,Will a Republican win Alabama Presidential Election?,,2024-03-28 00:00:00+00:00,2024-11-05 00:00:00+00:00,222,218302,FALSE,TRUE,TRUE
0xda9861827ab29ca4cde17b079dfb9a2434c0d812887919a5f58aac56c29e8875,Will a candidate from another party win Alabama Presidential Election?,,2024-03-28 00:00:00+00:00,2024-11-05 00:00:00+00:00,222,241200,FALSE,TRUE,TRUE
0xc61956bcb19342bb81fd4a033cc8c9375523d6f22c594936635ed2b7f10dd6e9,Will a Democrat win Montana Presidential Election?,,2024-03-28 00:00:00+00:00,2024-11-05 00:00:00+00:00,222,67716,FALSE,TRUE,TRUE
0x015f277ff86323fb0cc3045f6444c5188d9fb491231b644aecd9a08cab9da792,Will a Republican win Montana Presidential Election?,,2024-03-28 00:00:00+00:00,2024-11-05 00:00:00+00:00,222,153723,FALSE,TRUE,TRUE
0x9f599b558efcac7608c06fa26698e4316cdf34d0e36183a837a835cf96db8636,Will a candidate from another party win Montana Presidential Election?,,2024-03-28 00:00:00+00:00,2024-11-05 00:00:00+00:00,222,205722,FALSE,TRUE,TRUE
0x5450fdfa7f5d9198c8bb06894478ab983dcf181c7796a84980fd7fd13d364e7b,Will a Democrat win Nebraska Presidential Election?,,2024-03-28 00:00:00+00:00,2024-11-05 00:00:00+00:00,222,102474,FALSE,TRUE,TRUE
